subject,AR,luning,where,eyedom,uniformity,repeat,rawresp,pref,convresp,sendomeye,eye
LS1,binoar,monolune,nasal,dom,75,rep1,-1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,75,rep2,-1,uniform,1,left,left
LS1,binoar,monolune,nasal,dom,75,rep3,1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,75,rep4,-1,uniform,1,left,left
LS1,binoar,monolune,nasal,dom,75,rep5,2,nonuniform,-2,left,left
LS1,binoar,monolune,nasal,dom,75,rep6,1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,50,rep1,2,uniform,2,left,left
LS1,binoar,monolune,nasal,dom,50,rep2,1,uniform,1,left,left
LS1,binoar,monolune,nasal,dom,50,rep3,-1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,50,rep4,1,uniform,1,left,left
LS1,binoar,monolune,nasal,dom,50,rep5,-1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,50,rep6,2,nonuniform,-2,left,left
LS1,binoar,monolune,nasal,dom,25,rep1,1,uniform,1,left,left
LS1,binoar,monolune,nasal,dom,25,rep2,-2,uniform,2,left,left
LS1,binoar,monolune,nasal,dom,25,rep3,1,uniform,1,left,left
LS1,binoar,monolune,nasal,dom,25,rep4,2,nonuniform,-2,left,left
LS1,binoar,monolune,nasal,dom,25,rep5,-2,uniform,2,left,left
LS1,binoar,monolune,nasal,dom,25,rep6,-1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,10,rep1,1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,10,rep2,2,uniform,2,left,left
LS1,binoar,monolune,nasal,dom,10,rep3,1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,10,rep4,1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,dom,10,rep5,-1,uniform,1,left,left
LS1,binoar,monolune,nasal,dom,10,rep6,1,nonuniform,-1,left,left
LS1,binoar,monolune,nasal,nondom,75,rep1,-2,nonuniform,-2,left,right
LS1,binoar,monolune,nasal,nondom,75,rep2,-2,nonuniform,-2,left,right
LS1,binoar,monolune,nasal,nondom,75,rep3,1,nonuniform,-1,left,right
LS1,binoar,monolune,nasal,nondom,75,rep4,-1,uniform,1,left,right
LS1,binoar,monolune,nasal,nondom,75,rep5,1,uniform,1,left,right
LS1,binoar,monolune,nasal,nondom,75,rep6,1,uniform,1,left,right
LS1,binoar,monolune,nasal,nondom,50,rep1,-2,uniform,2,left,right
LS1,binoar,monolune,nasal,nondom,50,rep2,-1,uniform,1,left,right
LS1,binoar,monolune,nasal,nondom,50,rep3,1,uniform,1,left,right
LS1,binoar,monolune,nasal,nondom,50,rep4,1,uniform,1,left,right
LS1,binoar,monolune,nasal,nondom,50,rep5,-1,nonuniform,-1,left,right
LS1,binoar,monolune,nasal,nondom,50,rep6,-1,nonuniform,-1,left,right
